,name,full_text,date,url
89,Andrew Tate,"Great to meet @real_lord_miles

Encompassing the true British spirit of adventure, returning home with stories to tell. 

Very interesting to hear the Taliban are fans of mine. 

Top G! Top G! https://t.co/cJt8iRV9my",2022-12-23T16:17:57.000Z,https://twitter.com/Cobratate/status/1606323233535451136
90,Andrew Tate,"TATE GETS ABANDONED BY TRISTAN AND LUC

Tate Confidential Ep. 168

OUT NOW:
https://t.co/gWayyIAJrJ https://t.co/L4QHAHMVQs",2022-12-23T14:25:58.000Z,https://twitter.com/Cobratate/status/1606295049615970304
91,Andrew Tate,"If you treat your body like shit, you don't respect yourself.

If you have friends who take advantage of you, you don't respect yourself. 

If you waste your own time playing video games, you don't respect yourself.

If you don't want to be RICH. You don't respect yourself.",2022-12-23T13:33:32.000Z,https://twitter.com/Cobratate/status/1606281858349531136
92,Andrew Tate,"If you want to win, first you need to understand the game that you’re playing.

Join: https://t.co/P0AAPfO8k2 https://t.co/DWEPA0QDO8",2022-12-23T11:57:47.000Z,https://twitter.com/Cobratate/status/1606257761787879424
93,Andrew Tate,"In the last month I have been offered more than 400,000,000 dollars for endorsement deals.

And Ive said no to all of it, because I refuse to peddle trash or sell my soul.

If you obey Tate, your life gets BETTER.

You do not get sold trash or scams.

Ever.",2022-12-22T20:07:51.000Z,https://twitter.com/Cobratate/status/1606018700594872320
94,Andrew Tate,"He’s right. 

Nobody’s going to listen to you if they don’t want to be you. 

And 99% of personal trainers are super boring dorks with lives far too close to average. 

Snore. https://t.co/5sUXZY21yc",2022-12-22T18:08:47.000Z,https://twitter.com/Cobratate/status/1605988735836860416
95,Andrew Tate,"Are you ready to generate the velocity needed to escape the Matrix?

We are waiting for you. 

Join: https://t.co/YPRqVWGqxw https://t.co/sXyCgOfwvt",2022-12-22T14:54:03.000Z,https://twitter.com/Cobratate/status/1605939732596215808
96,Andrew Tate,"Bugatti Chiron Pursport vs GTR Blackseries through the desert. 

Tell me. 

Why is your life so devoid of genuine experiences? https://t.co/pxkPSDGjrt",2022-12-22T12:43:35.000Z,https://twitter.com/Cobratate/status/1605906899798573056
97,Andrew Tate,Can’t trust 2s.,2022-12-22T10:01:14.000Z,https://twitter.com/Cobratate/status/1605866043448205313
98,Andrew Tate,Smart woman. https://t.co/NmzwLd4JQJ,2022-12-22T09:55:46.000Z,https://twitter.com/Cobratate/status/1605864667359989760
99,Andrew Tate,I know of no better life purpose than to perish in attempting the great and impossible.,2022-12-21T23:54:10.000Z,https://twitter.com/Cobratate/status/1605713267451633665
100,Andrew Tate,"We are winning. 

The agents of the Matrix are being discredited. 

Trust in the oppression systems decimated in real-time.

They attempted to cancel me and it back fired. 

They messed with the wrong man. 

I warned them in my “final message”

They should have listened. https://t.co/8M9FTrZJJn",2022-12-21T11:27:02.000Z,https://twitter.com/Cobratate/status/1605525247125360641
101,Andrew Tate,"Something has shifted in the Universe.

God has blessed many of you with the chance you'd been hoping for.

Will you notice it before it's too late?

The Universe can not give its graces to you all.

Tick Tok",2022-12-20T23:21:29.000Z,https://twitter.com/Cobratate/status/1605342654346285056
102,Andrew Tate,.@SadiqKhan,2022-12-20T22:03:00.000Z,https://twitter.com/Cobratate/status/1605322904232665089
103,Andrew Tate,"Create a life you’re proud of.

Crafting every aspect of your reality with INTENTION.

Are you awake? Do you KNOW what you are doing?

Yes or no.",2022-12-20T21:20:35.000Z,https://twitter.com/Cobratate/status/1605312230802788355
104,Andrew Tate,"See you soon @piersmorgan 

Put the kettle on will you?

No sugar.

Im sweet enough.",2022-12-20T17:54:13.000Z,https://twitter.com/Cobratate/status/1605260294724673536
105,Andrew Tate,No need to imagine my friend.,2022-12-20T17:28:41.000Z,https://twitter.com/Cobratate/status/1605253869474566145
106,Andrew Tate,"If you understand, we are waiting for you.

https://t.co/ecNjdhz2XV",2022-12-20T17:27:53.000Z,https://twitter.com/Cobratate/status/1605253667103318020
107,Andrew Tate,"Hard work gets you a BMW. 

Hard work inside of the right network gets you private planes. 

Do you understand?",2022-12-20T17:23:28.000Z,https://twitter.com/Cobratate/status/1605252559480016897
108,Andrew Tate,They deleted my Instagram because of all the great poems I wrote. https://t.co/Ax1R2L8c95,2022-12-20T15:13:42.000Z,https://twitter.com/Cobratate/status/1605219900699598848
109,Andrew Tate,"I got successful by listening

Watch the full EM episode here:
https://t.co/nc4IRs8vtp https://t.co/qgQeg9BNgo",2022-12-20T13:10:28.000Z,https://twitter.com/Cobratate/status/1605188887583887360
110,Andrew Tate,"When's the last time you've sat and discussed how to become rich?

If you don’t think about it. 

And you don’t speak about it. 

How is it ever going to happen?

Speak it into existence,

https://t.co/Q7eVI0PiaT",2022-12-20T11:50:52.000Z,https://twitter.com/Cobratate/status/1605168855655288832
